Date,SARIMAX_Forecast,LightGBM_Forecast,Hybrid_Forecast
2026-01-05 13:53:32.012798,4291.098467854676,5030.622998509292,4549.9320535837915
2026-01-06 13:53:32.012798,4149.7591730230015,6119.027111632855,4839.00295153645
2026-01-07 13:53:32.012798,4208.994394905151,6166.180658991988,4894.009587335544
2026-01-08 13:53:32.012798,4204.038349966755,5457.227603917327,4642.654588849455
2026-01-09 13:53:32.012798,4228.721129423269,5469.841959392086,4663.113419912355
2026-01-10 13:53:32.012798,4246.956307800222,5660.7822137461335,4741.795374881291
2026-01-11 13:53:32.012798,4294.493134705365,5667.4513595601275,4775.028513404532
2026-01-12 13:53:32.012798,4294.712134676575,4739.45893416716,4450.37351449828
2026-01-13 13:53:32.012798,4153.373765093888,6076.487737997108,4826.463655610016
2026-01-14 13:53:32.012798,4212.608190801084,6193.379797389922,4905.878253107177
